danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,song,artist
-2.5738174109996543,0.2697397501280459,-1.2696659595181332,-0.9888302742983148,-1.199415062114892,0.12278632355211729,1.0190911063067554,-0.2083027190726014,1.359347117114652,1.0872744008265152,2.9186251072830323,What's Going On,Marvin Gaye
0.4566974493337956,-1.4716280417000378,0.41380210127379524,-1.7628810862092812,0.8337397382993762,0.0840578445513962,-0.08838387763841594,-0.2083027190726014,-0.5822648771634047,1.4386754505381825,-0.9119934883588681,Blister In The Sun,Violent Femmes
0.004900509146469712,-1.817340765077672,0.1332240911418072,-1.3505093810249438,-1.199415062114892,-0.6506441835505216,-0.9663828709831263,-0.1542722359594275,0.533129247209096,-0.07813161214129181,-0.20173722047273523,Monkey Gone to Heaven,Pixies
-2.7962405200149534,1.1148152961622633,-0.14735391899018085,0.13683302904271394,0.8337397382993762,-0.34081635154475165,-0.8160890998825507,-0.16202443571044808,-0.8643408218108485,-1.675004736780386,1.5208059828277707,Paranoid Android,Radiohead
-0.23837476633901386,-2.905695634970225,-1.5502439696501211,-2.502777310506898,0.8337397382993762,-0.23488257074866123,2.5211320764348217,-0.2082095360654932,-0.41573033776056606,-0.7008676496050052,-1.7156910650011665,Lean on Me,Bill Withers
0.7972828350134726,-1.1323174057923597,0.41380210127379524,-0.8374715228749445,0.8337397382993762,-0.5116772883126395,-0.5690369880793972,-0.2083027190726014,-0.20272104317553988,0.8648686731609034,-0.30139089625610044,Harlem,Bill Withers
0.3802395056097865,-0.075972973249588,0.41380210127379524,-1.9785942711357,0.8337397382993762,-0.6426706731680202,-0.818779322515616,-0.20308760287646027,-0.7352442796381053,1.2918876702788784,-0.680308741579794,Little Green Bag,George Baker Selection
-0.8083339831907175,-1.7277115404982855,-0.9890879493861451,-1.8045856352950556,0.8337397382993762,-0.6677302772273104,0.7141992078927,-0.20828079365916416,0.29430064418952123,-0.9143771481639927,-1.3760938486260978,Harvest Moon,Bedlam
-1.2323280347511318,-0.5689337084362152,1.5361141418017474,-2.6350813972617684,-1.199415062114892,-0.4558627156351294,-0.5053683857635209,-0.20819074285397557,-0.25435966004463717,-0.2694005379337178,-0.4318506038272822,Across 110th Street,Bobby Womack
-0.6971224286830678,1.2620633079712558,0.9749581215377714,-1.4673540228600872,0.8337397382993762,0.0840578445513962,-0.05699794691932212,5.789863956969604,0.862325429749591,0.21099583382400405,0.49828691348624604,Bustin' Surfboards,The Tornadoes
-0.5650587077052347,-0.4793044838568284,0.9749581215377714,-1.8419759206823016,0.8337397382993762,-0.6745647146980259,-0.3170528014489575,6.4867788840815575,-0.4609141275210261,1.2118216083192581,0.7152812394127662,Surf Rider,The Lively Ones
0.34548589482614595,-1.7917324151978473,1.2555361316697595,-2.9101157080429525,-1.199415062114892,-0.47750510095906185,-0.37534095849870325,-0.19029255803487677,-0.8933875437997155,1.0739300571665784,-1.2872935434726045,Soul Shadows - Edit,The Crusaders
-0.5928615963321471,0.17370843807870298,0.9749581215377714,-1.2839978156726313,0.8337397382993762,-0.5447104027544312,-0.9823762445366988,-0.18810001669115378,-0.11880829076325677,0.24213263569718976,-0.05169028509814908,Orange Crush - Remastered 2013,R.E.M.
-0.39824137594376025,-1.446019691820213,-0.14735391899018085,-0.9830779227002769,0.8337397382993762,-0.5492666944015747,0.6514273464545122,-0.20826121739716663,0.11356548514768071,0.9449347351205238,-1.4178628810501486,The Joker,Steve Miller Band
-1.5590119761173522,-0.03756044842985082,-0.42793192912216893,-0.23635078087999045,-1.199415062114892,-0.4991474862829944,-0.05251424253088013,-0.2083027190726014,2.2565680852152172,-0.8254148570977479,-1.6208976528331986,All the Young Dudes,Mott The Hoople
-0.21057187771210145,1.2940737453210367,1.5361141418017474,-0.32587175262445445,0.8337397382993762,-0.24855144569009216,-0.9003827423852602,-0.10337395476585785,-0.7462174857227885,-0.3049854543602158,0.08545685286113552,Baby Blue - Remastered 2010,Badfinger
-1.413046810826062,-0.11438549806932519,-0.9890879493861451,-0.06018501319008196,0.8337397382993762,-0.46269715310584497,1.9920549585986669,-0.20827907094810838,0.4556713219054501,0.8826611313741525,-0.5657819282666051,Come On Eileen,Dexys Midnight Runners
-0.24532548849574198,0.47460654916664424,-1.5502439696501211,-0.7274577985624705,0.8337397382993762,3.077541456724791,-0.8129505068106414,-0.20827061400292546,-0.910815576993036,0.3533354995299959,0.4393059700633081,Roxanne,The Police
-1.8370408623864758,-1.778928240257935,0.41380210127379524,-0.4017308893235782,0.8337397382993762,-0.6221673607558736,2.9919210372212306,-0.2083027190726014,-0.6816692146364169,0.006382564371640828,1.818670710114243,The Times They Are A-Changin',Bob Dylan
-1.3713424778856933,0.596246211095812,0.6943801114057834,-0.48873520724390046,0.8337397382993762,-0.3442335702801094,0.8038732956615399,-0.206540855492824,-0.538372052824672,0.7136327783482872,1.5297956433494826,Baby Driver,Simon & Garfunkel
0.004900509146469712,-1.074698618562754,1.5361141418017474,-3.7025021406726637,-1.199415062114892,-0.3909355596633321,2.090696455144391,-0.08692989468793536,-0.2156306973928142,1.100618744486452,0.03970459687258671,A Horse with No Name,America
-0.19667043339864526,1.3004758327909929,1.2555361316697595,-0.1058443039995072,-1.199415062114892,0.84495854962439,-0.8438880670908911,0.4267512201271674,3.121514917772596,1.2518546392990682,2.565470313454487,Dirty Harry,Gorillaz
