danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Song,Artist
0.623,0.876,11,-7.788,1,0.066,0.0189,0.0134,0.0728,0.515,124.431,audio_features,6S3JlDAGk3uu3NtZbPnuhS,spotify:track:6S3JlDAGk3uu3NtZbPnuhS,https://api.spotify.com/v1/tracks/6S3JlDAGk3uu3NtZbPnuhS,https://api.spotify.com/v1/audio-analysis/6S3JlDAGk3uu3NtZbPnuhS,217347,4,Baby Blue - Remastered 2010,Badfinger
0.45,0.656,2,-7.049,1,0.0472,0.664,3.02e-06,0.259,0.782,106.61,audio_features,3MrWxJaD2AT0W9DjWF64Vm,spotify:track:3MrWxJaD2AT0W9DjWF64Vm,https://api.spotify.com/v1/tracks/3MrWxJaD2AT0W9DjWF64Vm,https://api.spotify.com/v1/audio-analysis/3MrWxJaD2AT0W9DjWF64Vm,287307,4,Come On Eileen,Dexys Midnight Runners
0.618,0.748,0,-8.905,1,0.358,0.0384,4.1e-06,0.0473,0.663,134.114,audio_features,3EYOJ48Et32uATr9ZmLnAo,spotify:track:3EYOJ48Et32uATr9ZmLnAo,https://api.spotify.com/v1/tracks/3EYOJ48Et32uATr9ZmLnAo,https://api.spotify.com/v1/audio-analysis/3EYOJ48Et32uATr9ZmLnAo,191947,4,Roxanne,The Police
0.389,0.396,7,-7.999,1,0.0332,0.887,0.0,0.0828,0.585,171.86,audio_features,52vA3CYKZqZVdQnzRrdZt6,spotify:track:52vA3CYKZqZVdQnzRrdZt6,https://api.spotify.com/v1/tracks/52vA3CYKZqZVdQnzRrdZt6,https://api.spotify.com/v1/audio-analysis/52vA3CYKZqZVdQnzRrdZt6,192053,3,The Times They Are A-Changin',Bob Dylan
0.456,0.767,8,-8.241,1,0.0576,0.399,0.000225,0.105,0.744,163.955,audio_features,0si76EE5TVUriyT02srhrd,spotify:track:0si76EE5TVUriyT02srhrd,https://api.spotify.com/v1/tracks/0si76EE5TVUriyT02srhrd,https://api.spotify.com/v1/audio-analysis/0si76EE5TVUriyT02srhrd,196467,4,Baby Driver,Simon & Garfunkel
0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179,audio_features,54eZmuggBFJbV7k248bTTt,spotify:track:54eZmuggBFJbV7k248bTTt,https://api.spotify.com/v1/tracks/54eZmuggBFJbV7k248bTTt,https://api.spotify.com/v1/audio-analysis/54eZmuggBFJbV7k248bTTt,252240,4,A Horse with No Name,America
0.625,0.877,10,-7.176,0,0.162,0.0315,0.0811,0.672,0.865,192.296,audio_features,2bfGNzdiRa1jXZRdfssSzR,spotify:track:2bfGNzdiRa1jXZRdfssSzR,https://api.spotify.com/v1/tracks/2bfGNzdiRa1jXZRdfssSzR,https://api.spotify.com/v1/audio-analysis/2bfGNzdiRa1jXZRdfssSzR,230426,4,Dirty Harry,Gorillaz
0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,audio_features,0d28khcov6AiegSCpG5TuT,spotify:track:0d28khcov6AiegSCpG5TuT,https://api.spotify.com/v1/tracks/0d28khcov6AiegSCpG5TuT,https://api.spotify.com/v1/audio-analysis/0d28khcov6AiegSCpG5TuT,222640,4,Feel Good Inc.,Gorillaz
0.356,0.982,4,-1.574,0,0.112,0.713,0.00145,0.941,0.299,95.754,audio_features,21Qsj3cMVCx2xF2EVVNbEu,spotify:track:21Qsj3cMVCx2xF2EVVNbEu,https://api.spotify.com/v1/tracks/21Qsj3cMVCx2xF2EVVNbEu,https://api.spotify.com/v1/audio-analysis/21Qsj3cMVCx2xF2EVVNbEu,110093,4,Fell In Love With a Girl,The White Stripes
0.515,0.565,5,-13.23,1,0.0419,0.0707,0.000347,0.186,0.56,114.142,audio_features,56qx6OC90grYNnqIZ81Wh1,spotify:track:56qx6OC90grYNnqIZ81Wh1,https://api.spotify.com/v1/tracks/56qx6OC90grYNnqIZ81Wh1,https://api.spotify.com/v1/audio-analysis/56qx6OC90grYNnqIZ81Wh1,190467,4,"Girl, You'll Be A Woman Soon",Urge Overkill
