danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.916,0.583,1,-8.067,1,0.241,0.186,0.0,0.0798,0.661,141.095,audio_features,2FDTHlrBguDzQkp7PVj16Q,spotify:track:2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/tracks/2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/audio-analysis/2FDTHlrBguDzQkp7PVj16Q,226383,4
0.785,0.863,7,-4.599,0,0.0893,0.0883,0.0,0.0929,0.962,130.132,audio_features,1UMm1Qs3u59Wvk53zBUE8r,spotify:track:1UMm1Qs3u59Wvk53zBUE8r,https://api.spotify.com/v1/tracks/1UMm1Qs3u59Wvk53zBUE8r,https://api.spotify.com/v1/audio-analysis/1UMm1Qs3u59Wvk53zBUE8r,156501,3
0.811,0.771,9,-5.956,0,0.0461,0.00551,0.0,0.0932,0.903,127.888,audio_features,1oWkcc7hQdVYPQMyQ6AFov,spotify:track:1oWkcc7hQdVYPQMyQ6AFov,https://api.spotify.com/v1/tracks/1oWkcc7hQdVYPQMyQ6AFov,https://api.spotify.com/v1/audio-analysis/1oWkcc7hQdVYPQMyQ6AFov,190667,3
0.854,0.668,5,-7.848,0,0.0466,0.264,5.61e-05,0.117,0.805,132.966,audio_features,5AqiaZwhmC6dIbgWrD5SzV,spotify:track:5AqiaZwhmC6dIbgWrD5SzV,https://api.spotify.com/v1/tracks/5AqiaZwhmC6dIbgWrD5SzV,https://api.spotify.com/v1/audio-analysis/5AqiaZwhmC6dIbgWrD5SzV,187660,3
0.784,0.646,11,-3.626,1,0.0491,0.0978,1.09e-06,0.255,0.592,127.942,audio_features,2NFadq6pUeiVEihLvUlOSr,spotify:track:2NFadq6pUeiVEihLvUlOSr,https://api.spotify.com/v1/tracks/2NFadq6pUeiVEihLvUlOSr,https://api.spotify.com/v1/audio-analysis/2NFadq6pUeiVEihLvUlOSr,204048,4
0.859,0.658,11,-4.79,1,0.159,0.145,0.0,0.12,0.672,100.065,audio_features,6XSqqQIy7Lm7SnwxS4NrGx,spotify:track:6XSqqQIy7Lm7SnwxS4NrGx,https://api.spotify.com/v1/tracks/6XSqqQIy7Lm7SnwxS4NrGx,https://api.spotify.com/v1/audio-analysis/6XSqqQIy7Lm7SnwxS4NrGx,195987,4
0.786,0.853,5,-4.955,0,0.0589,0.273,0.0,0.106,0.963,125.107,audio_features,368eeEO3Y2uZUQ6S5oIjcu,spotify:track:368eeEO3Y2uZUQ6S5oIjcu,https://api.spotify.com/v1/tracks/368eeEO3Y2uZUQ6S5oIjcu,https://api.spotify.com/v1/audio-analysis/368eeEO3Y2uZUQ6S5oIjcu,157252,3
0.731,0.605,1,-5.01,1,0.19,0.067,7.7e-06,0.177,0.413,132.946,audio_features,41bmnQZoDMQdDh5zyomtW7,spotify:track:41bmnQZoDMQdDh5zyomtW7,https://api.spotify.com/v1/tracks/41bmnQZoDMQdDh5zyomtW7,https://api.spotify.com/v1/audio-analysis/41bmnQZoDMQdDh5zyomtW7,216704,4
0.799,0.802,11,-5.196,1,0.0371,0.429,0.00128,0.171,0.811,107.008,audio_features,1s7oOCT8vauUh01PbJD6ps,spotify:track:1s7oOCT8vauUh01PbJD6ps,https://api.spotify.com/v1/tracks/1s7oOCT8vauUh01PbJD6ps,https://api.spotify.com/v1/audio-analysis/1s7oOCT8vauUh01PbJD6ps,239318,4
0.72,0.63,4,-3.547,0,0.277,0.673,0.0,0.0936,0.607,179.974,audio_features,0DWdj2oZMBFSzRsi2Cvfzf,spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,https://api.spotify.com/v1/tracks/0DWdj2oZMBFSzRsi2Cvfzf,https://api.spotify.com/v1/audio-analysis/0DWdj2oZMBFSzRsi2Cvfzf,199440,4
0.613,0.797,7,-5.564,0,0.299,0.0185,0.0,0.279,0.336,145.011,audio_features,11pn4LFXCIXyprWQk8RSlM,spotify:track:11pn4LFXCIXyprWQk8RSlM,https://api.spotify.com/v1/tracks/11pn4LFXCIXyprWQk8RSlM,https://api.spotify.com/v1/audio-analysis/11pn4LFXCIXyprWQk8RSlM,165589,4
0.747,0.629,9,-8.509,0,0.0363,0.328,0.00409,0.154,0.793,127.819,audio_features,3RA55zrRkyPK8Fd86hrMy8,spotify:track:3RA55zrRkyPK8Fd86hrMy8,https://api.spotify.com/v1/tracks/3RA55zrRkyPK8Fd86hrMy8,https://api.spotify.com/v1/audio-analysis/3RA55zrRkyPK8Fd86hrMy8,163552,3
